title,author,average_rating,number_of_ratings,genres
To Kill a Mockingbird,Harper Lee,4.27,"5,691,311","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,"9,278,135","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']"
Pride and Prejudice,Jane Austen,4.28,"3,944,155","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Diary of a Young Girl,Anne Frank,4.18,"3,488,438","['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']"
Animal Farm,George Orwell,3.98,"3,575,172","['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']"
The Little Prince,Antoine de Saint-Exupéry,4.32,"1,924,063","['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
1984,George Orwell,4.19,"4,201,429","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']"
The Great Gatsby,F. Scott Fitzgerald,3.93,"4,839,642","['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']"
The Catcher in the Rye,J.D. Salinger,3.81,"3,315,881","['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']"
The Lord of the Rings,J.R.R. Tolkien,4.52,"644,766","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
The Book Thief,Markus Zusak,4.39,"2,364,659","['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']"
Jane Eyre,Charlotte Brontë,4.14,"1,975,582","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,"617,006","['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']"
Lord of the Flies,William Golding,3.69,"2,738,919","['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']"
Romeo and Juliet,William Shakespeare,3.74,"2,469,086","['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,468,276","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
The Kite Runner,Khaled Hosseini,4.33,"2,954,721","['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']"
"The Giver (The Giver, #1)",Lois Lowry,4.12,"2,285,401","['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
The Giving Tree,Shel Silverstein,4.38,"1,067,524","['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']"
Charlotte's Web,E.B. White,4.19,"1,724,889","['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']"
Little Women,Louisa May Alcott,4.14,"2,085,559","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature']"
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,"7,963,002","['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,"3,662,325","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy']"
Of Mice and Men,John Steinbeck,3.88,"2,396,235","['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']"
